## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	126819	410189249	2310254	518875	73650	76797776	56912579	0.187286	3019225352

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
345.0	0	1	0	1
346.0	0	1	0	1
348.0	0	1	0	1
352.0	0	0	0	1
353.0	0	1	0	0
357.0	0	1	0	1
358.0	0	1	0	1
359.0	0	2	0	2
360.0	0	0	0	1
361.0	0	1	0	0
364.0	0	3	0	3
365.0	0	1	0	1
374.0	0	1	0	1
376.0	0	2	0	2
377.0	0	1	0	2
378.0	0	0	0	1
379.0	0	2	0	0
381.0	0	0	0	2
382.0	0	2	0	0
386.0	0	1	0	1
388.0	0	1	0	1
390.0	0	0	0	1
392.0	0	2	0	1
399.0	0	1	0	1
401.0	0	1	0	1
403.0	0	1	0	1
407.0	0	1	0	1
409.0	0	1	0	1
410.0	0	1	0	1
411.0	0	1	0	1
413.0	0	0	0	1
415.0	0	1	0	0
422.0	0	1	0	1
426.0	0	1	0	1
427.0	0	1	0	1
431.0	0	1	0	1
435.0	0	1	0	1
438.0	0	1	0	1
443.0	0	1	1	1
445.0	0	1	0	1
446.0	0	1	0	1
447.0	0	1	0	1
449.0	0	0	0	1
450.0	0	1	0	1
451.0	0	1	0	1
452.0	0	1	0	0
454.0	0	0	0	1
455.0	0	1	0	1
456.0	0	1	0	0
462.0	0	1	0	1
465.0	0	1	0	1
467.0	0	0	0	1
468.0	0	1	0	1
469.0	0	3	0	2
472.0	0	1	0	1
478.0	0	1	0	1
485.0	0	0	0	1
486.0	0	2	0	1
489.0	0	1	0	1
490.0	0	1	0	1
491.0	0	1	0	1
494.0	0	1	0	1
495.0	0	1	0	1
499.0	0	1	0	1
500.0	0	1	0	2
501.0	0	1	0	0
508.0	0	2	0	2
509.0	0	0	0	1
513.0	0	1	0	0
514.0	0	1	0	1
516.0	0	1	0	1
520.0	0	1	0	1
522.0	0	0	0	1
523.0	0	1	0	1
524.0	0	1	0	0
527.0	0	3	0	3
532.0	0	1	0	1
541.0	0	2	0	2
545.0	0	1	0	1
547.0	0	0	0	1
548.0	0	1	0	1
549.0	0	1	0	0
552.0	0	1	0	1
553.0	0	0	0	1
554.0	0	2	0	1
562.0	0	1	0	1
563.0	0	1	0	1
569.0	0	3	0	3
573.0	0	0	0	1
574.0	0	1	0	0
590.0	0	2	0	2
592.0	0	1	0	1
593.0	0	0	0	1
594.0	0	2	0	1
598.0	0	3	0	3
603.0	0	1	0	1
604.0	0	1	0	1
606.0	0	0	0	1
607.0	0	2	0	1
611.0	0	0	0	1
612.0	0	1	0	0
613.0	0	2	0	2
616.0	0	1	0	1
632.0	0	0	0	1
634.0	0	1	0	0
635.0	0	0	0	1
636.0	0	1	0	0
638.0	0	1	1	1
639.0	0	1	0	1
656.0	0	1	0	1
657.0	0	1	0	1
676.0	0	1	0	1
678.0	0	0	0	1
679.0	0	1	0	0
680.0	0	1	0	1
687.0	0	1	0	1
689.0	0	1	0	1
698.0	0	1	0	1
699.0	0	0	0	1
700.0	0	2	0	1
702.0	0	2	0	2
719.0	0	1	0	1
724.0	0	1	0	1
732.0	0	1	0	1
743.0	0	1	0	1
748.0	0	0	0	1
751.0	0	1	0	0
760.0	0	1	0	1
764.0	0	1	0	1
822.0	0	1	0	1
823.0	0	1	0	1
828.0	0	1	0	1
832.0	0	0	0	2
833.0	0	1	0	0
834.0	0	1	0	0
854.0	0	1	0	1
864.0	0	1	0	1
883.0	0	1	0	2
884.0	0	1	0	0
889.0	0	1	0	1
924.0	0	1	0	1
944.0	0	0	0	1
946.0	0	0	0	1
947.0	0	1	0	0
948.0	0	1	0	0
988.0	0	1	0	1
989.0	0	0	0	1
990.0	0	1	0	0
1032.0	0	1	0	2
1035.0	0	1	0	0
1051.0	0	1	0	1
1063.0	0	1	0	1
1086.0	0	0	0	1
1087.0	0	0	0	1
1088.0	0	1	0	0
1091.0	0	1	0	0
1099.0	0	0	0	1
1101.0	0	1	0	0
1102.0	0	1	0	1
1133.0	0	1	0	1
1144.0	0	1	0	1
1151.0	0	0	0	1
1152.0	0	1	0	0
1157.0	0	0	0	1
1161.0	0	1	0	0
1182.0	0	0	0	1
1184.0	0	1	0	0
1196.0	0	1	0	1
1198.0	0	0	0	1
1201.0	0	1	0	0
1251.0	0	0	0	1
1253.0	0	1	0	0
1263.0	0	0	0	1
1268.0	0	1	0	0
1271.0	0	1	0	1
1292.0	0	1	0	1
1293.0	0	0	0	1
